Domain name,Company name,Twitter,Facebook,lighthouse_metrics,contact_details,Domain_valid,Twitter_valid,Facebook_valid,twitter_details,security_score,response_time
comteroger.com,COMTE ROGER CARCASSONNE,unknown,comterogercarcassonne,"{'mobile': {'performance': 0.34, 'accessibility': 0.85, 'best-practices': 0.75, 'seo': 0.69}, 'desktop': {'performance': 0.33, 'accessibility': 0.85, 'best-practices': 0.75, 'seo': 0.69}}","{'emails': set(), 'phones': {'+33(0)468119340', '+33(0)4681193'}}",True,True,True,{},0,0.958869
beresford.fr,Beresford,beresfordfrance,beresfordfrance,"{'mobile': {'performance': 0.28, 'accessibility': 0.86, 'best-practices': 0.75, 'seo': 1}, 'desktop': {'performance': 0.37, 'accessibility': 0.86, 'best-practices': 0.75, 'seo': 1}}","{'emails': {'info@beresford.fr'}, 'phones': {'+33(0)169947602', '+33(0)1699476'}}",True,True,True,{},20,2.107207
diamantblanc.fr,Diamant Blanc,unknown,diamantblancmarseille,"{'mobile': {'performance': 0.53, 'accessibility': 0.97, 'best-practices': 1, 'seo': 1}, 'desktop': {'performance': 0.55, 'accessibility': 0.97, 'best-practices': 1, 'seo': 1}}","{'emails': set(), 'phones': {'0491333214'}}",True,True,True,{},20,2.042652
lacigale.com,La Cigale,unknown,lacigale.nantes,"{'mobile': {'performance': 0.63, 'accessibility': 0.92, 'best-practices': 0.96, 'seo': 0.92}, 'desktop': {'performance': 0.36, 'accessibility': 0.92, 'best-practices': 0.96, 'seo': 0.92}}","{'emails': set(), 'phones': {'+33(0)2518494', '+33(0)251849494'}}",True,True,True,{},25,2.288187
restaurantletournant.com,Restaurant Le Tournant,unknown,restaurant-le-tournant-103027653186850,unknown,"{'emails': set(), 'phones': set()}",True,True,False,{},30,0.197213
16cafe.com,16 Cafe,unknown,unknown,unknown,"{'emails': set(), 'phones': set()}",True,True,True,{},0,0.715085
legrandchene.eu,Le Grand Chêne,unknown,legrandchene,"{'mobile': {'performance': 0.13, 'accessibility': 0.66, 'best-practices': 1, 'seo': 0.92}, 'desktop': {'performance': 0.26, 'accessibility': 0.66, 'best-practices': 0.96, 'seo': 0.92}}","{'emails': {'contact@legrandchene.eu'}, 'phones': {'0494046365'}}",True,True,True,{},25,0.157592
vacances-chataigneraie.com,Village Vacances & Spa La Chataîgneraie,unknown,unknown,"{'mobile': {'performance': 0.43, 'accessibility': 0.83, 'best-practices': 1, 'seo': 0.92}, 'desktop': {'performance': 0.65, 'accessibility': 0.83, 'best-practices': 1, 'seo': 0.92}}","{'emails': set(), 'phones': {'04.71.46.25', '04.71.46.25.00', '03/08/2024,', '20/07/2024'}}",True,True,True,{},0,1.995273
equitours.se,Equi Tours AB,unknown,equitours.se,"{'mobile': {'performance': 0.34, 'accessibility': 0.84, 'best-practices': 0.75, 'seo': 0.75}, 'desktop': {'performance': 0.33, 'accessibility': 0.84, 'best-practices': 0.75, 'seo': 0.75}}","{'emails': {'info@equitours.se', 'info@equitours.seFacebook'}, 'phones': {'070-8540200', '070-8172387', '559326-1026', '2070-8172387'}}",True,True,True,{},0,1.311672
sushizen.ch,SushiZen,unknown,unknown,"{'mobile': {'performance': 0.67, 'accessibility': 0.91, 'best-practices': 1, 'seo': 0.92}, 'desktop': {'performance': 0.52, 'accessibility': 0.91, 'best-practices': 1, 'seo': 0.92}}","{'emails': set(), 'phones': set()}",True,True,True,{},25,0.337424
chateaudesaintmartin.com,ChâteaudeSaintMartin,ch_saintmartin,chateaudesaintmartin,"{'mobile': {'performance': 0.7, 'accessibility': 0.82, 'best-practices': 1, 'seo': 0.85}, 'desktop': {'performance': 0.71, 'accessibility': 0.82, 'best-practices': 1, 'seo': 0.85}}","{'emails': set(), 'phones': {'+33(0)494997676', '+33(0)4949976'}}",True,True,True,{},5,0.17947
passy-mont-blanc.com,Passy Mont-Blanc Tourisme,unknown,passymontblanc,"{'mobile': {'performance': 0.26, 'accessibility': 0.63, 'best-practices': 0.93, 'seo': 1}, 'desktop': {'performance': 0.26, 'accessibility': 0.63, 'best-practices': 0.93, 'seo': 1}}","{'emails': set(), 'phones': {'2015-2020-'}}",True,True,True,{},10,1.691786
mansouria.fr,MANSOURIA,unknown,mansouria-200468706645509,"{'mobile': {'performance': 0.65, 'accessibility': 0.91, 'best-practices': 0.96, 'seo': 0.85}, 'desktop': {'performance': 0.74, 'accessibility': 0.91, 'best-practices': 0.96, 'seo': 0.85}}","{'emails': set(), 'phones': {'0143710016'}}",True,True,False,{},20,1.552886
sensuniques.fr,Restaurant SENS UNIQUES,sens_uniques,sensuniques,"{'mobile': {'performance': 0.35, 'accessibility': 0.9, 'best-practices': 0.96, 'seo': 0.92}, 'desktop': {'performance': 0.28, 'accessibility': 0.9, 'best-practices': 0.96, 'seo': 0.92}}","{'emails': set(), 'phones': {'2021-06-27'}}",True,True,True,{},25,1.964265
chateaudesdemoiselles.com,Chateaudesdemoiselles,unknown,chateaudesdemoiselles,"{'mobile': {'performance': 0.48, 'accessibility': 0.84, 'best-practices': 1, 'seo': 1}, 'desktop': {'performance': 0.44, 'accessibility': 0.84, 'best-practices': 1, 'seo': 1}}","{'emails': {'-contact@chateaudesdemoiselles.com', 'contact@chateaudesdemoiselles.com'}, 'phones': {'0494702878-'}}",True,True,True,{},35,0.09995
marcheauxvins.com,Marché aux Vins - Vins de Bourgogne,unknown,unknown,"{'mobile': {'performance': 0.49, 'accessibility': 0.77, 'best-practices': 0.57, 'seo': 0.85}, 'desktop': {'performance': 0.48, 'accessibility': 0.77, 'best-practices': 0.57, 'seo': 0.85}}","{'emails': {'20contact@marcheauxvins.com'}, 'phones': {'+33380250820'}}",True,True,True,{},0,1.038622
brusselskitchen.com,Brussels' Kitchen,brusselskitchen,unknown,"{'mobile': {'performance': 0.56, 'accessibility': 0.73, 'best-practices': 0.75, 'seo': 0.83}, 'desktop': {'performance': 0.79, 'accessibility': 0.73, 'best-practices': 0.71, 'seo': 0.92}}","{'emails': {'info@brusselskitchen.com'}, 'phones': {'0456705198'}}",True,True,True,"{'tweets': 1131, 'following': 112, 'followers': 1662, 'likes': 93, 'media': 0}",0,1.402525
jacksbarmeribel.com,Jacks Méribel,jacksbarmeribel,jacksbarmeribel,unknown,"{'emails': set(), 'phones': set()}",True,True,True,{},0,0.526862
casino-gujanmestras.fr,CASINO GUJAN,unknown,casinogujanmestras,"{'mobile': {'performance': 0.55, 'accessibility': 0.92, 'best-practices': 0.89, 'seo': 1}, 'desktop': {'performance': 0.54, 'accessibility': 0.92, 'best-practices': 0.89, 'seo': 1}}","{'emails': set(), 'phones': {'0974751313.(', '0557730078'}}",True,True,True,{},65,0.941744
lescocottesevents.com,Les Cocottes Events,unknown,lescocottesevents,"{'mobile': {'performance': 0.65, 'accessibility': 0.82, 'best-practices': 0.96, 'seo': 0.92}, 'desktop': {'performance': 0.59, 'accessibility': 0.82, 'best-practices': 0.96, 'seo': 0.92}}","{'emails': {'contact@lescocottesevents.com'}, 'phones': set()}",True,True,True,{},0,0.826759
massamier-la-mignarde.com,Massamier La Mignarde,unknown,massamierlamignarde,"{'mobile': {'performance': 0.24, 'accessibility': 0.72, 'best-practices': 1, 'seo': 0.85}, 'desktop': {'performance': 0.3, 'accessibility': 0.72, 'best-practices': 1, 'seo': 0.85}}","{'emails': set(), 'phones': {'0468916455'}}",True,True,True,{},30,0.392367
hotel-leplacedarmes.com,Hotel Le Place d'Armes,unknown,hotelleplacedarmes,"{'mobile': {'performance': 0.58, 'accessibility': 0.61, 'best-practices': 0.71, 'seo': 0.92}, 'desktop': {'performance': 0.82, 'accessibility': 0.61, 'best-practices': 0.71, 'seo': 0.92}}","{'emails': {'reservations@hotel-leplacedarmes.com'}, 'phones': {'0123456789', '+352274737'}   }",True,True,True,{},35,0.891002
hotelaigledesneiges.com,Hôtel L'Aigle des Neiges,unknown,hotelaigledesneiges,"{'mobile': {'performance': 0.32, 'accessibility': 0.93, 'best-practices': 0.93, 'seo': 0.92}, 'desktop': {'performance': 0.3, 'accessibility': 0.93, 'best-practices': 0.93, 'seo': 0.92}}","{'emails': {'contact@experimentalgroup.com'}, 'phones': {'21345678910111213141516171819-+'}}",True,True,True,{},50,0.575679
terre-vaudoise.ch,Terre Vaudoise,unknown,terrevaudoise,"{'mobile': {'performance': 0.51, 'accessibility': 0.87, 'best-practices': 1, 'seo': 1}, 'desktop': {'performance': 0.43, 'accessibility': 0.87, 'best-practices': 1, 'seo': 1}}","{'emails': {'info@terre-vaudoise.ch'}, 'phones': {'0796138904', '0216142565'}}",True,True,True,{},0,3.277609
domaine-lafage.com,Domaine Lafage,unknown,domaine.lafage,"{'mobile': {'performance': 0.27, 'accessibility': 0.78, 'best-practices': 0.79, 'seo': 0.77}, 'desktop': {'performance': 0.31, 'accessibility': 0.78, 'best-practices': 0.79, 'seo': 0.69}}","{'emails': set(), 'phones': set()}",True,True,True,{},0,2.814954
leccs.com,Peinture sur céramique et café,unknown,unknown,"{'mobile': {'performance': 0.32, 'accessibility': 0.74, 'best-practices': 0.96, 'seo': 0.77}, 'desktop': {'performance': 0.38, 'accessibility': 0.74, 'best-practices': 0.96, 'seo': 0.77}}","{'emails': {'ddo@leccs.com', 'laval@leccs.com', 'terrebonne@leccs.com', 'gp@leccs.com', 'montreal@leccs.com', 'quebec@leccs.com'}, 'phones': {'9514624-2422', '418527-1370', '7(450)582-2575', '2450669-9399', '450669-9399', '8514848-1119', '514624-2422', '514848-1119', '3450443-8582', '450443-8582', '6418527-1370'}}",True,True,True,{},0,3.103768
safrandugatinais.fr,Safran du Gâtinais,unknown,unknown,"{'mobile': {'performance': 0.45, 'accessibility': 0.96, 'best-practices': 0.96, 'seo': 1}, 'desktop': {'performance': 0.49, 'accessibility': 0.96, 'best-practices': 0.96, 'seo': 1}}","{'emails': {'contact@safrandugatinais.fr'}, 'phones': {'0688426725', '0238343326'}}",True,True,True,{},95,0.484621
keisukematsushima.com,Keisuke Matsushima,unknown,keisuke.matsushima,"{'mobile': {'performance': 0.11, 'accessibility': 0.72, 'best-practices': 0.79, 'seo': 0.85}, 'desktop': {'performance': 0.23, 'accessibility': 0.72, 'best-practices': 0.79, 'seo': 0.85}}","{'emails': {'ksuke@keisukematsushima.com'}, 'phones': {'+33(0)493822606'}}",True,True,True,{},30,1.396902
rougemaple.com,Blanc par rouge,rougemaple,blancparrouge,"{'mobile': {'performance': 0.34, 'accessibility': 0.65, 'best-practices': 0.75, 'seo': 1}, 'desktop': {'performance': 0.41, 'accessibility': 0.65, 'best-practices': 0.75, 'seo': 1}}","{'emails': set(), 'phones': {'514206-8434'}}",True,True,True,"{'tweets': 40, 'following': 20, 'followers': 48, 'likes': 1, 'media': 0}",0,0.547386
auvieuxsaintmartin.be,Au Vieux Saint Martin,unknown,auvieuxsaintmartin,"{'mobile': {'performance': 0.31, 'accessibility': 0.88, 'best-practices': 0.79, 'seo': 1}, 'desktop': {'performance': 0.3, 'accessibility': 0.88, 'best-practices': 0.79, 'seo': 1}}","{'emails': set(), 'phones': {'(1917-1978)'}}",True,True,True,{},0,0.927364
cavedevouvray.com,Cave De Vouvray,unknown,unknown,unknown,"{'emails': set(), 'phones': set()}",True,True,True,{},25,2.111172
chateaucaillou.com,Chateau Caillou,chcaillou,chateaucaillousauternes,unknown,"{'emails': {'contact@chateaucaillou.com'}, 'phones': {'2024-05-02', '05.56.27.16.38', '05.56.27.16'}}",True,True,True,{},0,2.272611
chateauhautgoujon.com,Château Haut-Goujon,ch_haut_goujon,unknown,"{'mobile': {'performance': 0.27, 'accessibility': 0.88, 'best-practices': 1, 'seo': 1}, 'desktop': {'performance': None, 'accessibility': 0.88, 'best-practices': 1, 'seo': 1}}","{'emails': set(), 'phones': {'(255,255,255,0)0%,#', '+33(0)557515005', '+604800&&""', '+33(0)5575150', '(0,0,0,0.3)'}}",True,True,True,"{'tweets': 277, 'following': 368, 'followers': 287, 'likes': 63, 'media': 0}",25,0.614791
morelchocolatier.com,Morel Chocolatier,unknown,christophemorelchocolatier,"{'mobile': {'performance': 0.4, 'accessibility': 0.85, 'best-practices': 0.96, 'seo': 0.92}, 'desktop': {'performance': 0.39, 'accessibility': 0.85, 'best-practices': 0.96, 'seo': 0.92}}","{'emails': set(), 'phones': set()}",True,True,True,{},0,0.562522
tendacayou.com,Tendacayou Ecolodge & SPA,tendacayou,ecolodge.spa.guadeloupe.tendacayou,"{'mobile': {'performance': 0.5, 'accessibility': 0.83, 'best-practices': 0.57, 'seo': 1}, 'desktop': {'performance': 0.38, 'accessibility': 0.83, 'best-practices': 0.57, 'seo': 1}}","{'emails': set(), 'phones': {'+590)590284272', '+590)5902842'}}",True,True,True,"{'tweets': 341, 'following': 107, 'followers': 300, 'likes': 414, 'media': 0}",0,0.249352
croix-duplex.ch,Domaine Croix Duplex,unknown,domainecroixduplex,"{'mobile': {'performance': 0.67, 'accessibility': 0.72, 'best-practices': 1, 'seo': 0.85}, 'desktop': {'performance': 0.64, 'accessibility': 0.72, 'best-practices': 1, 'seo': 0.85}}","{'emails': {'domaine@croix-duplex.ch'}, 'phones': {'+41217991531', '+412179915'}}",True,True,True,{},45,0.508724
deco-americaine.fr,Deco Americaine & Goodies,unknown,unknown,"{'mobile': {'performance': 0.77, 'accessibility': 0.96, 'best-practices': 1, 'seo': 0.92}, 'desktop': {'performance': 0.8, 'accessibility': 0.96, 'best-practices': 1, 'seo': 0.92}}","{'emails': {'contact@deco-americaine.com'}, 'phones': {'0768246623'}}",True,True,True,{},65,0.459141
cave-joly.ch,Vignerons à Lavaux,unknown,cavejoly,"{'mobile': {'performance': 0.68, 'accessibility': 0.9, 'best-practices': 1, 'seo': 1}, 'desktop': {'performance': 0.66, 'accessibility': 0.9, 'best-practices': 1, 'seo': 1}}","{'emails': {'02lavaux@cave-joly.ch'}, 'phones': {'+41217995325+41796580502'}}",True,True,True,{},45,0.239739
cadet-de-gascogne.com,Restaurant au Cadet de Gascogne Montmartre,unknown,cadetdegascognemontmartre,"{'mobile': {'performance': 0.31, 'accessibility': 0.93, 'best-practices': 0.96, 'seo': 1}, 'desktop': {'performance': 0.38, 'accessibility': 0.93, 'best-practices': 0.96, 'seo': 0.92}}","{'emails': {'restaurant.montmartre@aucadetdegascogne.com'}, 'phones': {'0146067173'}}",True,True,True,{},5,5.560413
massanois.com,Massanois,massanois,massanoisllc,"{'mobile': {'performance': 0.57, 'accessibility': 0.87, 'best-practices': 0.79, 'seo': 0.85}, 'desktop': {'performance': 0.58, 'accessibility': 0.87, 'best-practices': 0.79, 'seo': 0.92}}","{'emails': set(), 'phones': {'100161.888.242.1342', '1.888.242.1342'}}",True,True,True,{},35,0.194736
cru-hopital.ch,Cru de l'Hôpital,unknown,cruhopitalvully,"{'mobile': {'performance': 0.43, 'accessibility': 0.78, 'best-practices': 0.89, 'seo': 0.92}, 'desktop': {'performance': 0.38, 'accessibility': 0.78, 'best-practices': 0.93, 'seo': 0.92}}","{'emails': {'info@cru-hopital.ch'}, 'phones': set()}",True,True,True,{},50,1.81218
jesuisunenfantterrible.com,Les Enfants Terribles,unknown,jesuisunenfantterrible,"{'mobile': {'performance': 0.68, 'accessibility': 0.92, 'best-practices': 0.75, 'seo': 0.92}, 'desktop': {'performance': 0.54, 'accessibility': 0.92, 'best-practices': 0.75, 'seo': 0.92}}","{'emails': set(), 'phones': {'8198688888', '514508-6068', '514-379-1883', '2016-2024.'}}",True,True,True,{},25,0.8813
lelagon.nc,Hôtel Le Lagon Nouméa,unknown,lelagonnoumea,"{'mobile': {'performance': 0.54, 'accessibility': 0.91, 'best-practices': 0.93, 'seo': 1}, 'desktop': {'performance': 0.55, 'accessibility': 0.91, 'best-practices': 0.93, 'seo': 1}}","{'emails': {'resa@lelagon.nc', 'donieresa@lelagon.nc'}, 'phones': {'12345678910', '+687)261255'}}",True,True,True,{},70,2.130489
restauration-nouvelle.be,Restauration Nouvelle,unknown,restaurationnouvelle,"{'mobile': {'performance': 0.54, 'accessibility': 0.8, 'best-practices': 0.71, 'seo': 1}, 'desktop': {'performance': 0.51, 'accessibility': 0.8, 'best-practices': 0.71, 'seo': 1}}","{'emails': {'info@restauration-nouvelle.be'}, 'phones': {'+3223810322'}}",True,True,True,{},45,0.24448
lucana.be,B!,unknown,lucanawanze,"{'mobile': {'performance': 0.66, 'accessibility': 0.89, 'best-practices': 1, 'seo': 1}, 'desktop': {'performance': 0.65, 'accessibility': 0.89, 'best-practices': 1, 'seo': 1}}","{'emails': set(), 'phones': set()}",True,True,True,{},25,0.449971
cookandbook.com,Cook & Book,unknown,cookandbook,"{'mobile': {'performance': 0.28, 'accessibility': 0.72, 'best-practices': 0.75, 'seo': 0.92}, 'desktop': {'performance': 0.28, 'accessibility': 0.72, 'best-practices': 0.75, 'seo': 0.92}}","{'emails': {'fortjaco@cookandbook.com', 'info@cookandbook.com'}, 'phones': {'28-02-2024-21-32-55.', '28-02-2024-21-41-27.', '+3223742240', '28-02-2024-21-40-35.', '+3227612600', '28-02-2024-21-39-32.'}}",True,True,True,{},0,0.739034
letirebouchon.fr,Le Tire-Bouchon,letirebouchon67,winstubletirebouchon,"{'mobile': {'performance': 0.47, 'accessibility': 0.79, 'best-practices': 0.57, 'seo': 0.92}, 'desktop': {'performance': 0.5, 'accessibility': 0.79, 'best-practices': 0.57, 'seo': 0.92}}","{'emails': {'reservation@letirebouchon.fr'}, 'phones': {'+333.88.22.16', '+333.88.22.16.32'}}",True,True,True,{},0,0.314377
lesperrieres.ch,Cave & Domaine Les Perrières,unknown,domainelesperrieres,"{'mobile': {'performance': 0.53, 'accessibility': 0.75, 'best-practices': 1, 'seo': 0.83}, 'desktop': {'performance': 0.57, 'accessibility': 0.75, 'best-practices': 1, 'seo': 0.83}}","{'emails': {'fabrx@lesperrieres.ch', 'joanna@lesperrieres.ch', 'emilien@lesperrieres.ch', 'fvu@lesperrieres.ch', 'woof@lesperrieres.ch', 'maria@lesperrieres.ch', 'sandrx@lesperrieres.ch', 'info@lesperrieres.ch', 'christelle@lesperrieres.ch', 'caveau@lesperrieres.ch', 'er@lesperrieres.ch', 'frederic@lesperrieres.ch'}, 'phones': {'18042271111715731', '+41(0)227539000', '2022.+41(0)227539000', '2019.+41(0)227539000', '2024.+41(0)227539000'}}",True,True,True,{},0,0.835871
restaurantmaestro.com,Restaurant Maestro,unknown,restaurant.maestro.st.sauveur,"{'mobile': {'performance': 0.54, 'accessibility': 0.91, 'best-practices': 0.79, 'seo': 1}, 'desktop': {'performance': 0.54, 'accessibility': 0.91, 'best-practices': 0.79, 'seo': 1}}","{'emails': set(), 'phones': set()}",True,True,True,{},45,1.235275
lembertfoiesgras.com,Maison Lembert Foies Gras,unknown,unknown,"{'mobile': {'performance': 0.32, 'accessibility': 0.88, 'best-practices': 0.79, 'seo': 0.92}, 'desktop': {'performance': 0.33, 'accessibility': 0.88, 'best-practices': 0.79, 'seo': 0.92}}","{'emails': set(), 'phones': {'0553295045', '2024.10.50', '2024-03-11'}}",True,True,True,{},20,1.516659
chateaudevilla.ch,Château de Villa,unknown,chateaudevilla,"{'mobile': {'performance': 0.28, 'accessibility': 0.82, 'best-practices': 0.57, 'seo': 0.77}, 'desktop': {'performance': 0.31, 'accessibility': 0.82, 'best-practices': 0.57, 'seo': 0.77}}","{'emails': {'info@chateaudevilla.ch'}, 'phones': {'+41(0)274551896-'}}",True,True,True,{},15,5.212676
hdefrance.com,Hôtel de France,unknown,unknown,"{'mobile': {'performance': 0.24, 'accessibility': 0.86, 'best-practices': 0.75, 'seo': 0.92}, 'desktop': {'performance': 0.24, 'accessibility': 0.86, 'best-practices': 0.75, 'seo': 0.92}}","{'emails': {'hotel@hdefrance.com'}, 'phones': {'0468231018'}}",True,True,True,{},0,0.39404
aubergesaint-gabriel.com,Auberge Saint-Gabriel,aubergesaintgab,lauberge.saintgabriel,"{'mobile': {'performance': 0.43, 'accessibility': 0.96, 'best-practices': 1, 'seo': 0.92}, 'desktop': {'performance': 0.38, 'accessibility': 0.96, 'best-practices': 1, 'seo': 0.92}}","{'emails': set(), 'phones': {'514-878-4492', '514.878.3561', '514-878-3561'}}",True,True,True,"{'tweets': 7463, 'following': 3027, 'followers': 4403, 'likes': 3038, 'media': 0}",70,0.31725
boco.fr,BOCO,unknown,bocochefs,"{'mobile': {'performance': 0.4, 'accessibility': 0.9, 'best-practices': 0.79, 'seo': 1}, 'desktop': {'performance': 0.44, 'accessibility': 0.9, 'best-practices': 0.79, 'seo': 1}}","{'emails': {'annecharlotte@boco.fr', 'Borvoannecharlotte@boco.fr', 'Franceannecharlotte@boco.fr'}, 'phones': {'2024-05-06', '2024-05-30'}}",True,True,True,{},0,2.962669
chateaubromont.com,Domaine Château-Bromont,chateaubromont,domaine.chateau.bromont,"{'mobile': {'performance': 0.43, 'accessibility': 0.78, 'best-practices': 0.75, 'seo': 0.83}, 'desktop': {'performance': 0.53, 'accessibility': 0.78, 'best-practices': 0.75, 'seo': 0.83}}","{'emails': {'info@chateaubromont.com'}, 'phones': {'12345678910111213141516171819202122232425262728293031', '450534-34331888276', '1888276-6668', '1901190219031904190519061907190819091910191119121913191419151916191719181919192019211922192319241925192619271928192919301931193219331934193519361937193819391940194119421943194419451946194719481949195019511952195319541955195619571958195919601961196219631964196519661967196819691970197119721973197419751976197719781979198019811982198319841985198619871988198919901991199219931994199519961997199819992000200120022003200420052006200720082009201020112012201320142015201620172018201920202021202220232024', '052824450534-34331888276-6668', '052824450534-3433'}}",True,True,True,"{'tweets': 1541, 'following': 1145, 'followers': 858, 'likes': 138, 'media': 0}",50,2.481777
le-sixiemesens.fr,Le 6ème Sens,unknown,lesixiemesensrouen,"{'mobile': {'performance': 0.55, 'accessibility': 0.78, 'best-practices': 1, 'seo': 0.77}, 'desktop': {'performance': 0.56, 'accessibility': 0.78, 'best-practices': 1, 'seo': 0.77}}","{'emails': {'contact@le-sixiemesens.fr'}, 'phones': {'0235884397'}}",True,True,True,{},25,0.461691
petit-jardin.com,Petit Jardin,unknown,restaurantlepetitjardin,"{'mobile': {'performance': 0.65, 'accessibility': 0.89, 'best-practices': 0.96, 'seo': 0.92}, 'desktop': {'performance': 0.65, 'accessibility': 0.89, 'best-practices': 0.96, 'seo': 0.92}}","{'emails': {'contact@petit-jardin.com'}, 'phones': {'046760787820,', '0430969908', '0467820987196'}}",True,True,True,{},0,2.540667
